min_deg,max_deg,number_component,number_articul,numbertriangle,clique_number,max_independent_set,distribution
9,22,1,0,983,15,2,1
5,19,1,0,542,12,4,1
3,20,1,0,782,13,4,0
5,19,1,0,674,13,4,0
1,22,1,1,1469,19,3,1
4,19,1,0,566,14,3,1
3,19,1,0,668,13,3,1
4,18,1,0,531,10,4,1
3,18,1,0,589,12,4,1
0,16,2,0,463,10,4,1
0,19,2,0,756,14,4,0
0,20,2,0,750,13,4,0
3,21,1,0,1131,17,3,0
2,23,1,0,1404,19,3,1
2,21,1,0,823,14,3,1
1,20,1,2,805,15,4,0
2,19,1,0,701,14,4,0
0,19,2,0,684,14,5,1
1,20,2,0,774,14,4,1
3,20,1,0,827,14,3,1
3,21,1,0,888,15,3,1
4,19,1,0,656,12,3,1
0,18,2,0,539,13,5,0
5,22,1,0,1040,15,3,1
2,19,1,0,845,16,4,0
6,20,1,0,862,14,3,1
9,20,1,0,729,12,3,1
4,21,1,0,826,14,4,1
0,21,2,0,971,16,4,0
3,19,1,0,629,12,4,1
0,16,2,0,456,12,5,0
1,20,1,2,839,14,4,1
1,19,1,1,742,13,4,1
1,16,1,1,423,12,5,0
0,21,2,0,1127,17,4,1
0,21,2,0,981,15,4,0
2,19,1,1,584,13,4,1
0,18,2,1,604,14,5,0
1,21,1,1,1148,18,4,1
0,19,2,1,649,13,5,0
0,23,2,0,1397,18,3,1
5,17,1,0,509,11,4,0
1,17,1,2,580,14,5,0
0,19,3,0,608,13,5,0
1,20,1,1,1002,16,4,1
3,17,1,0,463,11,4,1
3,20,1,0,543,12,3,1
3,19,1,0,765,15,3,0
0,15,2,0,380,12,4,0
5,17,1,0,490,11,3,1
2,20,1,0,731,14,3,1
3,18,1,0,748,14,4,1
1,22,1,2,1321,19,3,0
0,21,2,0,639,15,4,0
5,21,1,0,1017,16,3,1
4,21,1,0,884,15,3,1
0,19,2,0,738,14,4,1
1,21,1,1,1072,16,4,0
0,20,2,2,1009,18,5,0
15,24,1,0,1692,19,2,1
0,17,2,3,521,13,6,0
3,18,1,0,585,12,4,1
0,21,2,0,796,14,4,0
3,21,1,0,923,17,3,1
0,17,3,0,516,13,5,0
7,22,1,0,1094,16,3,1
3,20,1,0,696,12,4,1
4,18,1,0,547,13,3,1
2,21,1,0,822,15,3,1
1,21,1,1,971,17,4,0
1,18,2,0,427,12,4,0
4,17,1,0,633,13,4,0
5,20,1,0,942,16,3,0
4,18,1,0,684,13,3,1
2,16,1,0,442,11,4,1
1,20,2,0,843,15,4,1
0,18,2,2,647,14,5,0
0,21,2,0,1247,18,4,0
2,21,1,0,960,14,3,1
6,21,1,0,885,16,3,1
0,19,3,0,813,16,4,0
3,17,1,0,551,12,4,1
3,17,1,0,592,13,4,1
3,18,1,0,512,10,4,1
4,19,1,0,570,12,4,1
2,20,1,0,854,15,4,1
0,19,2,1,663,13,5,0
1,18,1,1,673,14,5,0
0,18,2,0,619,13,4,1
6,21,1,0,823,16,3,1
1,17,1,1,474,12,4,0
7,20,1,0,589,12,3,1
2,19,1,1,583,12,4,0
1,16,2,0,571,15,5,0
9,21,1,0,689,12,3,1
6,20,1,0,590,13,3,1
1,18,1,1,546,12,4,1
8,22,1,0,1007,17,3,0
4,16,1,0,507,13,4,1
1,19,1,2,883,16,4,0
3,20,1,0,750,14,3,1
0,20,2,1,976,16,4,0
2,21,2,0,805,13,3,0
5,19,1,0,581,12,3,1
